-BEGIN HEADER-,,,,,,,,
NASA/POWER Source Native Resolution Daily Data ,,,,,,,,
Dates (month/day/year): 01/01/2000 through 01/01/2024 in LST,,,,,,,,
Location: latitude  39.3405   longitude -95.7227 ,,,,,,,,
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 339.46 meters,,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,,
parameter(s): ,,,,,,,,
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,
T2M                   MERRA-2 Temperature at 2 Meters (C) ,,,,,,,,
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,,
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) ,,,,,,,,
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,,
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) ,,,,,,,,
-END HEADER-,,,,,,,,
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,T2M,RH2M,PRECTOTCORR,WS10M,CLRSKY_SFC_SW_DWN
2000,1,1,1.08,4.28,92.55,0.03,5.16,2.62
2000,1,2,2.24,2.73,81.41,0.11,5.37,2.79
2000,1,3,0.61,-1.21,84.81,0.87,6.91,2.69
2000,1,4,2.28,-5.66,57.85,0,6.14,2.77
2000,1,5,2.84,-0.92,69.12,0.18,6.97,2.86
2000,1,6,2.85,-0.03,69.59,0,4.33,2.88
2000,1,7,2.95,0.57,70.08,0,4.51,2.96
2000,1,8,1.82,1.45,95.57,0.1,4.81,2.93
2000,1,9,1.08,2.94,94.56,0.14,3.29,2.88
2000,1,10,2.57,1.69,62.03,0,7.44,2.94
2000,1,11,2.65,-0.74,54.17,0.01,3.49,2.8
2000,1,12,2.06,-0.12,77.46,0,4.71,2.87
2000,1,13,2.91,-2.51,65.95,0,3.71,2.93
2000,1,14,2.08,1.42,62.84,0,7.4,2.99
2000,1,15,2.71,3.06,75.22,0,6.01,2.83
2000,1,16,1.87,-0.93,63.55,0,6.21,3.01
2000,1,17,0.97,1.6,81.49,0,2.69,3.04
2000,1,18,2.68,1.66,80.04,0,1.85,2.97
2000,1,19,2.26,1.05,73.51,0.01,9.08,2.99
2000,1,20,3.03,-4.88,58.35,0,4.06,3.1
2000,1,21,2.88,-0.08,64.47,0.05,4.27,3.22
2000,1,22,3.09,1.77,74.87,0.25,3.12,3.23
2000,1,23,0.98,-4.03,71.21,0.88,4.56,3.25
2000,1,24,1.82,-1.7,71.32,0.02,4.68,3.3
2000,1,25,2.44,-5,67.41,0,5.87,3.32
2000,1,26,3.16,-7.29,64.26,0,2.63,3.35
2000,1,27,1.52,-4.63,61.61,0.85,4.16,3.36
2000,1,28,1.63,-4.91,80.59,1.96,3.7,3.4
2000,1,29,1.68,-5.56,78.16,0.22,3.41,3.37
2000,1,30,1.85,-5.53,80.13,0.1,4.23,3.46
2000,1,31,1.86,-4.4,84.65,0.01,4.36,3.57
2000,2,1,1.66,-4.18,77.77,0.01,3.16,3.58
2000,2,2,3.38,-1.34,81.25,0,6.42,3.46
2000,2,3,3.84,2.57,65.47,0,7.51,3.76
2000,2,4,2.19,-2.57,65.38,0,6.66,3.75
2000,2,5,3.66,-0.87,68.14,0,3.47,3.89
2000,2,6,3.71,1.8,71.79,0,4.74,3.63
2000,2,7,3.86,1.49,67.33,0,3.97,3.75
2000,2,8,3.9,2.63,70.03,0.01,4.92,3.81
2000,2,9,2.8,4.49,84.96,0,3.18,3.7
2000,2,10,3.36,3.17,80.58,0.01,6.4,3.81
2000,2,11,0.84,-3.78,69.39,1.71,6.13,3.98
2000,2,12,0.74,-1.27,82.72,0.11,3.51,4.05
2000,2,13,1.14,-0.09,79.94,0.17,5.99,4.09
2000,2,14,3.81,-0.98,73.05,0,3.72,4.14
2000,2,15,4.25,4.87,68.85,0.05,7.48,4.23
2000,2,16,3.8,-0.76,65.65,0.34,4.39,4.31
2000,2,17,0.86,0.76,83.53,8.56,5.81,4.31
2000,2,18,1.13,-1.64,86.31,3.49,7.26,4.36
2000,2,19,3.26,-1.47,76.39,0.06,4.36,4.42
2000,2,20,4.64,3.07,62.46,0,3.67,4.61
2000,2,21,4.09,9.62,79.39,0,7.1,4.41
2000,2,22,1.94,14.43,87.82,4.7,7.16,4.49
2000,2,23,1.58,12.9,83.07,14.97,7.17,4.5
2000,2,24,4.32,13.53,76.49,3.26,6.24,4.62
2000,2,25,3.48,14.46,70.61,11.36,10.76,4.71
2000,2,26,1.96,5.58,67.61,0,6.28,4.63
2000,2,27,4.87,6,55.72,0,4.08,4.66
2000,2,28,4.47,10.97,56.51,0.01,9.12,4.71
2000,2,29,2.63,11.21,70.54,1.78,8.02,4.52
2000,3,1,4.67,6.7,56.28,0,4.39,4.77
2000,3,2,1.42,3.71,67.5,9.35,4.35,4.81
2000,3,3,2.85,3.12,73.26,1.26,3.56,4.95
2000,3,4,4.73,6.71,77.52,0,3.85,4.87
2000,3,5,5.01,9.74,69.46,0,5.68,4.87
2000,3,6,4.92,14.39,76.09,0.04,6.88,4.76
2000,3,7,3.66,17.96,79.65,0.91,7.51,4.85
2000,3,8,3.53,13.51,55.87,0.14,11.83,5.18
2000,3,9,4.83,1.65,55.93,0,6.76,5.24
2000,3,10,4.22,0.68,62.35,0.01,4.35,5.25
2000,3,11,5.35,2.02,49.45,0,4.28,5.3
2000,3,12,2.94,3.41,66.28,0.14,4.98,5.29
2000,3,13,5.39,4.32,67.52,0,3.03,5.44
2000,3,14,2.95,7.47,83.04,5.19,2.5,5.27
2000,3,15,1.22,8.29,83.49,4.09,7.28,5.47
2000,3,16,4.27,0.3,51.23,1.36,6.58,5.51
2000,3,17,3.49,2.55,57.39,0.6,5.43,5.31
2000,3,18,0.99,5.01,87.74,5.23,4.41,5.6
2000,3,19,1.7,2.16,84.24,3.79,5.42,5.67
2000,3,20,2.31,3.66,81.03,0.05,2.69,5.71
2000,3,21,3.78,8.04,82.05,0.44,4.25,5.82
2000,3,22,2.96,11.06,76.78,1.86,3.44,5.74
2000,3,23,1.79,13.28,81.09,17.82,6.13,5.92
2000,3,24,5.34,13.39,73.56,0.82,5.17,5.94
2000,3,25,5.75,11.29,57.64,0.22,2.58,6.02
2000,3,26,4.52,12.8,58.51,0.62,6.11,6.13
2000,3,27,6.47,10.63,48.6,0,7.16,6.35
2000,3,28,6.27,4.81,55.18,0,5.01,6.06
2000,3,29,3.8,7.31,64.11,0.37,3.23,6.09
2000,3,30,5.68,10.33,59.29,0.29,3.2,6.25
2000,3,31,4.11,10.1,60.68,2.28,3.16,6.24
2000,4,1,1.59,7.74,80.12,2.57,2.89,6.41
2000,4,2,6.1,9.98,66.66,0.19,4.3,6.4
2000,4,3,5.67,6.72,55.17,0.09,8.02,6.66
2000,4,4,6.52,5.95,51.67,0,4.17,6.54
2000,4,5,6.52,15.41,55.51,0,7.04,6.41
2000,4,6,5.13,11.73,49.28,0.1,3.64,6.65
2000,4,7,4.68,7.68,58.63,0.11,8.91,6.62
2000,4,8,6.79,5.3,48.68,0,4.89,6.64
2000,4,9,6.79,11.27,53.73,0,5.45,6.68
2000,4,10,3.56,11.57,73.93,0.04,5.23,6.79
2000,4,11,3.91,7.53,64.04,0,5.55,6.91
2000,4,12,6.87,7.76,52.21,0,5.13,6.8
2000,4,13,6.78,12.8,66.5,0.01,6.44,6.78
2000,4,14,6.72,16.27,71.09,0.17,7.7,6.8
2000,4,15,2.19,15.1,80.24,0.85,3.1,7.04
2000,4,16,1.6,7.18,76.44,7.08,6.86,7.08
2000,4,17,5.3,7.79,67.45,0.01,3.19,7.14
2000,4,18,6.76,17.18,71.36,0.37,6.65,7.01
2000,4,19,7.15,20.64,59,1.9,6.02,7.04
2000,4,20,1.91,9.24,62.1,3.8,9.81,7.2
2000,4,21,7.59,11.68,45.7,0,4.01,7.56
2000,4,22,5.92,16.58,50.95,0.29,5.65,7.16
2000,4,23,3.5,14.05,77.33,5.18,5.1,7.23
2000,4,24,6.59,13.48,71.18,0.14,3.93,7.17
2000,4,25,3.53,13.67,69.17,1.82,2.45,7.17
2000,4,26,5.78,15.11,61.51,2.81,3.42,7.2
2000,4,27,4.94,14.48,62.32,0.34,7.99,7.21
2000,4,28,6.81,15.37,64.48,0.01,3.66,7.07
2000,4,29,7.71,16.03,54.51,0,3.71,7.61
2000,4,30,4.14,17.4,72.16,6.29,5.65,7.39
2000,5,1,1.79,16.75,82.43,4.36,3.67,7.52
2000,5,2,5.48,18.15,72.24,0.23,3.27,7.58
2000,5,3,4.79,18.87,72.65,0.01,2.4,7.5
2000,5,4,6.93,20.36,64.5,0,3.97,7.09
2000,5,5,6.09,20.56,68.62,0,4.56,7.43
2000,5,6,3.71,20.99,79,0.03,4.29,7.51
2000,5,7,3.5,23.91,77.59,0.23,5.26,7.76
2000,5,8,2.8,20.22,74.82,1.16,5.29,7.67
2000,5,9,6.26,16.11,54.28,4.28,5.28,7.73
2000,5,10,6.32,18.11,54.91,0,6.8,7.43
2000,5,11,7.35,25.67,64.19,7.94,8.54,7.37
2000,5,12,5.22,18.44,53.07,7.36,7.43,7.93
2000,5,13,8.12,12.07,39.9,0,5.75,7.95
2000,5,14,4.75,13.91,45.6,0.02,3.5,7.91
2000,5,15,4.4,14.92,60.17,0.02,6.58,7.9
2000,5,16,4.04,18.74,79.16,0.02,5.23,7.62
2000,5,17,2.19,21.75,80.4,0.12,8.15,7.62
2000,5,18,5.83,19.13,63.07,0.04,7.76,7.64
2000,5,19,3.2,14.95,58.15,0.08,3.35,8
2000,5,20,8.02,17,54.59,0.01,2.51,8.06
2000,5,21,7.35,20.67,54.89,1.73,3.88,7.75
2000,5,22,5.55,24.32,47.04,0,5.15,8.08
2000,5,23,5.62,26.54,47.59,0.01,2.78,7.68
2000,5,24,5.87,25.16,46.03,0.9,4.49,7.81
2000,5,25,7.45,22.35,40.37,0.25,4.17,7.68
2000,5,26,4.17,21.98,77.4,36.26,6.72,8.12
2000,5,27,3.99,19.73,67.18,0.06,5.13,8.15
2000,5,28,8.62,21.4,57.08,0,3.93,8.63
2000,5,29,8.11,25.38,60.95,0,5.84,8.1
2000,5,30,7.82,27.31,64.8,0,8.5,7.74
2000,5,31,7.34,28.17,63.1,0.67,7.15,7.3
2000,6,1,6.51,25.95,66.14,15.64,6.37,7.91
2000,6,2,6.92,19.15,48.02,0.42,4,8.2
2000,6,3,8.07,20.81,52.1,0.03,3.41,8.07
2000,6,4,6.11,22.63,62.38,0.19,6.36,8.29
2000,6,5,8.04,16.45,57.32,0,5.78,8.17
2000,6,6,8.15,18.73,54.36,0,4.3,7.98
2000,6,7,8.27,22.74,53.42,0,7.49,8.16
2000,6,8,8.05,24.21,48.05,0,7.19,7.95
2000,6,9,7.4,25.14,61.23,0.07,9.45,7.85
2000,6,10,4.7,24.78,76.21,1.07,7.75,7.95
2000,6,11,2.84,24.4,80.29,5.96,2.86,8.05
2000,6,12,6.59,25.89,75.97,2.51,4.68,7.24
2000,6,13,3.71,25.82,75.38,8.26,8.21,8.03
2000,6,14,6.51,21.23,64.36,18.77,5.36,8.1
2000,6,15,8.09,23.93,50.92,0,6.59,8.1
2000,6,16,6.05,20.14,55.98,2.49,4.42,7.62
2000,6,17,3.5,17.34,62.59,0.21,3.34,8.19
2000,6,18,6.58,19.14,55.93,0,2.96,8.07
2000,6,19,3.96,22.18,78.73,36.93,7.42,8.01
2000,6,20,4.21,24.49,76.73,9.77,5.92,7.88
2000,6,21,7.45,21.58,57.65,0,4.65,8.37
2000,6,22,8.31,24.98,74.45,0.75,4.38,8.25
2000,6,23,7.17,26.94,79.79,31.8,5.63,7.71
2000,6,24,6.45,25.29,80.54,11.21,3.65,7.83
2000,6,25,6.76,25.3,83.66,12.08,3.82,7.65
2000,6,26,7.87,20.45,73.44,3.58,5.23,8.27
2000,6,27,2.92,20.67,67.53,1.02,2.63,8.1
2000,6,28,5.31,20.72,70.67,0.14,2.45,7.88
2000,6,29,8.05,20.81,60.01,0,2.67,8.1
2000,6,30,5.68,21.89,75.56,4.92,1.79,7.48
2000,7,1,5.54,25.38,75.11,0.86,2.67,7.67
2000,7,2,6.97,26.72,77.7,7.99,6.07,7.68
2000,7,3,6.79,26.8,81.65,13.9,3.57,7.34
2000,7,4,5.36,27.24,80.07,16,5.59,7.51
2000,7,5,7.43,27.77,74.47,0.57,4.24,7.84
2000,7,6,7.83,27.92,70.83,0.06,2.75,7.9
2000,7,7,7.89,28.37,67.66,0,4.08,7.87
2000,7,8,7.9,28.63,65.18,0,5.62,7.84
2000,7,9,8.07,29.82,61.03,0.01,7.08,8
2000,7,10,7.48,30.49,58.65,0.19,4.82,7.69
2000,7,11,4.24,29.38,68.2,2.49,1.17,7.64
2000,7,12,7.93,27.25,59.54,0.4,4,8.21
2000,7,13,7.98,27.44,48.78,0,1.76,8.11
2000,7,14,8.06,29.53,48.21,0.24,2.12,8.03
2000,7,15,7.74,29.65,48.73,0.89,2.78,7.84
2000,7,16,5.78,29.9,58.5,6.73,2.33,7.77
2000,7,17,5.16,26.15,77.58,21.98,2.73,7.71
2000,7,18,3.83,25.26,73.93,1.03,4.26,7.3
2000,7,19,2.85,23.12,73.17,3.56,2.57,7.84
2000,7,20,5.48,23.23,74.31,0.82,2.41,7.28
2000,7,21,6.89,22.21,60.24,0.05,2.72,7.84
2000,7,22,6.72,20.94,58.77,0.18,3.17,7.54
2000,7,23,7.34,21.94,57.44,0.07,2.39,7.64
2000,7,24,6.91,23.69,58.23,1.98,4.62,7.25
2000,7,25,7.13,25.25,59.61,0.9,4.91,7.33
2000,7,26,6.92,26.85,61.68,5.48,4.49,7.21
2000,7,27,6.27,26.87,66.47,3.86,3.87,7.16
2000,7,28,2.15,23.18,84.35,9.38,2.31,7.61
2000,7,29,5.81,22.47,73.75,0.27,4.61,7.11
2000,7,30,6.25,23.11,69.28,0.38,4.28,7.16
2000,7,31,7.01,24.42,63.07,0.03,2.67,7.14
2000,8,1,6.83,25.85,57.87,0,3.15,7.59
2000,8,2,3.94,27.32,55.83,0.06,2.77,7.16
2000,8,3,6.56,27.49,57.99,0.45,3.36,7.1
2000,8,4,5.29,28.87,60.41,0.05,4.42,7.09
2000,8,5,4.93,30.2,54.15,1.36,6.24,6.96
2000,8,6,5.01,28.89,57.06,1.16,2.12,7.23
2000,8,7,4.46,28.51,62.2,4.18,4.82,7.33
2000,8,8,7.35,31.52,52.09,0.05,6.17,7.41
2000,8,9,6.89,30.78,54.09,0.25,3.34,7.31
2000,8,10,7.09,29.65,48.89,0.02,4.37,7.12
2000,8,11,6.86,29,45.23,0.01,4.68,6.72
2000,8,12,7.11,29.48,47.15,0.05,5.06,7.15
2000,8,13,6.03,30.48,47.83,3.52,4.64,6.66
2000,8,14,3.46,29.62,40.64,0.17,6.02,6.93
2000,8,15,6.37,30.79,45.25,0.22,3.82,6.74
2000,8,16,6.72,31.31,47.07,0.03,4.99,6.79
2000,8,17,3.37,26.45,56.92,0.19,5.18,7.01
2000,8,18,5.79,21.93,57.87,0.06,3.7,6.9
2000,8,19,2.39,21.29,67.14,20.07,5.28,6.94
2000,8,20,6.62,26.02,58.85,1.34,4.55,6.58
2000,8,21,4.3,28.5,46.52,0.18,4.35,6.65
2000,8,22,5.32,29.79,44.68,0.19,4.61,6.34
2000,8,23,6.42,30.38,44.95,0.59,4.43,6.4
2000,8,24,6.44,27.92,58.92,0.48,3.03,6.47
2000,8,25,5.96,28.94,60.1,1.41,2.03,6.22
2000,8,26,5.46,29.59,46.52,0.06,3.8,6.41
2000,8,27,6.15,30.93,51.42,0.01,2.23,6.34
2000,8,28,6.68,32.91,34.47,0,5.17,6.62
2000,8,29,6.05,29.57,43.92,0.05,4.22,6.45
2000,8,30,6.42,32.15,29.74,0.02,5.24,6.35
2000,8,31,5.3,34.02,29.4,0.02,5.07,6.28
2000,9,1,5.76,30.16,46.19,0.03,2.47,6.5
2000,9,2,5.85,33.8,27.18,0.02,4.03,6.38
2000,9,3,4.4,31.7,33.29,0.67,4.41,6.37
2000,9,4,5.65,26.84,50.26,1.65,6.3,6.32
2000,9,5,5.51,22.62,45.86,0,6.09,6.28
2000,9,6,6.27,24.02,35.41,0.04,5.78,6.26
2000,9,7,5.8,26.3,43.42,0,4.24,5.78
2000,9,8,5.73,27.55,45.46,0,3.99,5.65
2000,9,9,5.85,27.94,47.75,0.05,7.58,5.86
2000,9,10,5.11,30.52,45.16,0.19,6.6,5.72
2000,9,11,5.76,30.56,35.84,1.51,7.87,5.75
2000,9,12,5.85,22.16,28.81,0.03,4.84,5.81
2000,9,13,5.67,26.31,32.84,0.04,5.12,5.6
2000,9,14,5.77,24.11,35.9,0,7.27,5.67
2000,9,15,5.66,18.58,31.36,0,3.47,5.63
2000,9,16,5.7,20.74,28.86,0.01,3.37,5.57
2000,9,17,5.61,24.86,25.53,0.01,4.37,5.5
2000,9,18,5.38,26.68,19.78,0.03,7.63,5.48
2000,9,19,1.88,23.59,35.77,0.83,6.7,5.57
2000,9,20,3.17,15.77,59.09,8.4,5.94,5.61
2000,9,21,4.94,15.27,42.25,0,4.61,5.55
2000,9,22,3.26,21.17,67.28,18.12,7.67,5.41
2000,9,23,0.52,13.42,77.07,12.45,5.77,5.53
2000,9,24,0.4,8.76,84.28,15.28,7.27,5.5
2000,9,25,5.18,10.44,58.01,0.47,3.85,5.48
2000,9,26,5.15,13.95,47.11,0.02,4.33,5.16
2000,9,27,5.02,16.99,48.85,0.02,2.78,5.06
2000,9,28,5.05,18.29,49,0,2.98,4.98
2000,9,29,4.96,19.61,48.23,0,7.06,4.89
2000,9,30,3.51,20.82,44.24,0.05,7.95,4.89
2000,10,1,4.6,21.66,42.27,0,6.45,4.77
2000,10,2,4.73,20.35,53.86,0,3.28,4.78
2000,10,3,4.26,21.43,65.38,0.95,4.61,4.81
2000,10,4,2.61,14.67,75.6,4.32,6.42,4.89
2000,10,5,0.94,11.63,80.18,21.87,5.59,5.03
2000,10,6,4.16,4.37,45.24,0.05,5.42,4.99
2000,10,7,3.66,2.67,52.42,0,4.92,4.95
2000,10,8,4.86,3.57,51.78,0,2.43,4.82
2000,10,9,4.73,5.11,46.52,0,3.4,4.64
2000,10,10,4.62,7.63,43.78,0,4.98,4.55
2000,10,11,4.46,12.37,50.59,0,6.66,4.47
2000,10,12,4.18,17.5,56.44,0.29,8.12,4.35
2000,10,13,3.2,19.34,65.07,6.14,8.03,4.45
2000,10,14,1.99,17.65,85.33,10.57,3.23,4.37
2000,10,15,3.38,15.6,73.95,0.43,3.27,4.35
2000,10,16,4.2,13.38,73.37,0.86,3.26,4.45
2000,10,17,4.3,14.56,63.19,0.01,3.23,4.35
2000,10,18,4.42,16.98,52.43,0.01,3.07,4.33
2000,10,19,4.36,17.88,57.87,0,5.35,4.28
2000,10,20,3.71,18.05,62.55,0.23,4.85,4.14
2000,10,21,1.82,16.85,78.63,0.09,4.78,3.94
2000,10,22,0.9,16.97,88.97,11.45,5.39,4.23
2000,10,23,2.69,19.32,85.62,4.17,2.73,3.83
2000,10,24,1.42,18.32,89.88,4.13,3.85,4.13
2000,10,25,1.03,17.05,89.02,4.4,5.68,4.1
2000,10,26,2.67,17.36,81.26,0.36,4.32,3.53
2000,10,27,2.12,15.75,77.05,0.16,2.51,3.6
2000,10,28,1.51,14.54,82.71,2.57,5.96,4.2
2000,10,29,2.09,16.91,78.94,4.68,8.33,4.05
2000,10,30,4.22,15.57,75.54,0,3.35,4.17
2000,10,31,2.58,18.66,89.05,8.33,5.76,3.98
2000,11,1,1.19,17.04,80.96,10.08,7.79,3.74
2000,11,2,4.14,10.49,60.05,0,3.49,4.06
2000,11,3,2.54,8.43,56.28,0.33,2.69,3.95
2000,11,4,3.62,9.41,59.23,0.17,2.7,3.76
2000,11,5,1.11,11.84,91.47,15.9,7.44,3.84
2000,11,6,0.7,7.29,87.13,16.62,6.67,3.8
2000,11,7,3.35,0.96,70.41,0.02,5.11,3.83
2000,11,8,1.14,-2.01,74.33,0.43,3.13,3.7
2000,11,9,3.22,-2.54,75.09,0.06,5.57,3.74
2000,11,10,2.13,-2.7,79.41,0,2.83,3.57
2000,11,11,0.68,-1.39,90.45,2.22,4.17,3.58
2000,11,12,3.46,-0.29,80.67,0.29,5.17,3.54
2000,11,13,3.14,-3.03,77.17,0.01,6.65,3.63
2000,11,14,3.53,-1.7,72.89,0,4.58,3.54
2000,11,15,2.68,3.06,65.75,0,7.21,3.38
2000,11,16,1.76,-2.28,65.9,0.05,7.6,3.33
2000,11,17,3.51,-3.02,67.32,0,3.71,3.49
2000,11,18,3.46,-1.17,71.62,0.01,4.9,3.39
2000,11,19,2.87,0.07,68.82,0.02,7.03,3.26
2000,11,20,3.43,-3.9,59.3,0.01,6.91,3.36
2000,11,21,3.29,-0.88,70.56,0,3.67,3.23
2000,11,22,2.17,-1,77.61,0.04,2.17,3.19
2000,11,23,2.91,1.21,78.56,0.01,2.51,3.03
2000,11,24,2.53,0.83,78.9,0.02,3.34,3
2000,11,25,1.28,1.21,82.76,0.01,3.89,3.08
2000,11,26,2.88,-0.17,82.16,0,4.2,2.93
2000,11,27,2.2,0.87,83.6,0,3.5,2.88
2000,11,28,2.64,4.09,69.84,0,5.05,2.72
2000,11,29,2.77,0.11,70.03,0,6.02,2.87
2000,11,30,1.02,0.13,77.22,0.06,4.39,2.96
2000,12,1,0.62,-0.65,86.52,0.16,6.81,2.92
2000,12,2,1.32,-1.59,80.74,0.03,3.38,2.89
2000,12,3,2.87,-1.81,70.54,0,5.09,2.86
2000,12,4,2.83,0.68,77.3,0.01,5.09,2.87
2000,12,5,1.59,-3.83,61.14,0.26,3.62,2.89
2000,12,6,2.71,-1.6,71.09,0.07,4.08,2.89
2000,12,7,2.95,2.67,74.34,0,6.05,2.95
2000,12,8,2.84,-1.2,76.92,0,3.95,2.89
2000,12,9,1.51,0.15,84.44,0.1,4.96,2.81
2000,12,10,0.69,-3.77,70.01,0.86,6.83,2.81
2000,12,11,2.36,-12.05,67.89,1.13,9.3,2.83
2000,12,12,2.52,-12.46,68.48,0.48,3.36,2.89
2000,12,13,1.45,-7.07,87.66,6.88,3.56,2.84
2000,12,14,2.01,-6.94,88.6,0.07,3.22,2.83
2000,12,15,1.29,-3.04,95.05,0.34,4.61,2.83
2000,12,16,2.87,-8.48,74,0.14,10.7,2.85
2000,12,17,2.79,-11.47,67.59,0.02,5.19,2.84
2000,12,18,2.2,-10,76.71,0.42,9.26,2.83
2000,12,19,2.88,-12.95,76.7,0,5.25,2.87
2000,12,20,1.02,-7.06,84.37,1.28,5.68,2.85
2000,12,21,2.7,-14.49,79.23,0.01,6.02,2.72
2000,12,22,2.21,-12.7,82.06,0.01,4.11,2.84
2000,12,23,2.81,-8.62,86.84,0.02,5.46,2.84
2000,12,24,2.44,-14.12,75.68,0.01,4.06,2.84
2000,12,25,2.17,-11.07,79.12,0.94,3.26,2.64
2000,12,26,2.86,-7.76,89.72,0.84,2.97,2.84
2000,12,27,2.77,-7.93,91.95,0.03,2.07,2.7
2000,12,28,2.16,-5.41,85.75,0.24,6,2.77
2000,12,29,2.72,-9.47,78,0.1,8.2,2.82
2000,12,30,2.55,-9.76,85.44,0.01,4.32,2.56
2000,12,31,2.65,-11.76,81.02,0.02,4.15,2.79
2001,1,1,2.81,-12.95,88.14,0.03,3.4,2.99
2001,1,2,2.51,-9.44,89.19,0.01,3.61,2.99
2001,1,3,2.77,-3.42,89.66,0,4.82,2.88
2001,1,4,2.66,0.19,90.01,0.01,4.63,2.81
2001,1,5,2.77,1.87,69.38,0.01,5.08,2.9
2001,1,6,2.84,1.86,86.04,0.07,4.32,2.86
2001,1,7,2.64,0.37,90.69,0.07,4.79,2.87
2001,1,8,2.87,-0.54,73.24,0.13,3.21,2.92
2001,1,9,2.94,-0.92,78.81,0,4.27,2.97
2001,1,10,2.28,1.85,86.78,1.35,6.58,2.77
2001,1,11,1.09,1.93,91.57,0.34,4.58,2.82
2001,1,12,2.25,1.68,88.87,0.13,3.31,2.89
2001,1,13,0.95,1.25,94.5,6.68,6.27,2.58
2001,1,14,1.23,-0.12,86.03,0.16,6.01,3.01
2001,1,15,2.76,-2.36,81.31,0,4.93,3.08
2001,1,16,0.94,-3.17,83.28,0.02,3.31,3.04
2001,1,17,2.76,-2.38,77.1,0,2.66,3.09
2001,1,18,2.46,-2.11,81.64,0.01,4.5,3.19
2001,1,19,3.01,-9.51,72.12,0.01,6.7,3.38
2001,1,20,3.23,-8.79,75.75,0,3.47,3.42
2001,1,21,3.25,-3.69,77.87,0.02,3.38,3.26
2001,1,22,3.25,-1.12,82.35,0,3.63,3.35
2001,1,23,3.05,0.62,79.97,0.33,3.3,3.24
2001,1,24,3.41,-2.14,70.55,0.04,4.57,3.43
2001,1,25,2.85,-5.75,74.06,2.72,4.53,3.57
2001,1,26,0.81,-1.16,80.39,0.91,8.66,3.24
2001,1,27,2.99,-5.41,78.1,0.1,2.18,3.54
2001,1,28,0.48,-1.87,92.97,13.39,3.24,3.14
2001,1,29,0.65,-1.42,96.19,9.22,4.4,3.31
2001,1,30,0.94,-1.28,93.05,0.32,6.69,3.35
2001,1,31,2.21,-2.31,86.98,0.04,5.57,3.74
2001,2,1,2.91,-9.09,88.87,0.02,5.33,3.71
2001,2,2,2.52,-12.38,86.53,0.06,4.17,3.67
2001,2,3,1.86,-1.61,94.81,0.26,4.25,3.65
2001,2,4,1.75,-1.15,86.8,0.13,6.3,3.81
2001,2,5,3.5,0.78,82.98,0.21,5.1,3.73
2001,2,6,3.83,0.31,79.91,0.29,4.7,3.89
2001,2,7,1.71,2.33,90.93,1.41,5.1,3.33
2001,2,8,0.31,0.34,88.11,20.32,5.64,3.23
2001,2,9,1.82,-11.82,94.4,16.2,8.51,4.06
2001,2,10,3.37,-16.19,95.68,0,3.26,4.32
2001,2,11,2.39,-6.86,93.11,0.18,5.6,3.89
2001,2,12,1.47,-1.97,95.66,0.17,2.3,4.07
2001,2,13,1.27,1.71,98.05,0.49,2.32,3.82
2001,2,14,0.58,-4.48,87.61,1.1,6.17,4.15
2001,2,15,1.68,-6.33,79.04,0,2.48,4.35
2001,2,16,3.5,-9.19,82.03,0.01,7.2,4.52
2001,2,17,3.89,-10.67,75.36,0,2.21,4.41
2001,2,18,3.52,-4.14,80.52,0.01,5.54,4.35
2001,2,19,4.15,1.29,88.25,0.09,4.03,4.36
2001,2,20,3.47,-1.24,79.79,0.42,5.88,4.25
2001,2,21,1.36,-6.08,63.78,1.09,5.63,4.1
2001,2,22,3.95,-1.93,80.11,0.07,2.45,4.57
2001,2,23,0.68,-0.09,91.61,17.71,6.39,3.96
2001,2,24,1.04,4.21,97.44,22.17,6.15,4.22
2001,2,25,4.68,-0.65,69.86,0,6.18,4.95
2001,2,26,2.32,1.48,81.65,0.92,3.99,4.75
2001,2,27,0.55,-5.25,83.31,9,8.34,4.59
2001,2,28,1.59,-6.97,73.75,0.02,2.71,4.94
2001,3,1,0.94,-1.61,86.32,0.14,3.3,4.84
2001,3,2,2.53,-0.07,86.35,0.03,2.73,5.29
2001,3,3,2.8,0.76,81.66,0.01,3.1,4.97
2001,3,4,4.09,0.15,77.55,0,4.68,5.3
2001,3,5,4.58,-1.21,78.14,0,3.49,5.28
2001,3,6,3.61,-0.86,68.99,0,1.65,4.92
2001,3,7,1.74,1.26,74.76,0,2.79,5.16
2001,3,8,5.29,0.65,71.55,0,4.44,5.4
2001,3,9,5.36,0.35,75.73,0.01,3.23,5.37
2001,3,10,2.69,5.1,85.23,3.96,6.12,5.04
2001,3,11,1.23,3.19,90.23,13.56,6,4.91
